City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Avarua,-21.2078,-159.775,80.6,83,100,6.91,CK,2021-03-04 21:51:25
1,Jamestown,42.097,-79.2353,26.01,88,90,13.11,US,2021-03-04 21:48:23
2,Nikolskoye,59.7035,30.7861,26.6,68,0,13.42,RU,2021-03-04 21:51:10
3,Hudiksvall,61.729,17.1036,21.0,78,76,9.51,SE,2021-03-04 21:46:53
4,Guadalajara,20.6667,-103.3333,86.0,11,1,4.59,MX,2021-03-04 21:47:28
5,Vaini,-21.2,-175.2,82.4,78,75,5.75,TO,2021-03-04 21:51:11
6,Takoradi,4.8845,-1.7554,80.11,87,57,10.6,GH,2021-03-04 21:47:56
7,Hilo,19.7297,-155.09,77.0,57,1,9.22,US,2021-03-04 21:51:48
8,Litovko,49.2361,135.1742,19.09,98,80,4.72,RU,2021-03-04 21:51:49
9,Albany,42.6001,-73.9662,30.99,35,3,4.0,US,2021-03-04 21:47:23
10,Gomel,52.4345,30.9754,32.0,93,75,11.18,BY,2021-03-04 21:48:02
11,Puerto Ayora,-0.7393,-90.3518,84.2,79,40,6.91,EC,2021-03-04 21:47:19
12,Bukama,-9.2,25.85,69.93,87,86,1.25,CD,2021-03-04 21:51:50
13,Cape Town,-33.9258,18.4232,66.99,72,0,11.5,ZA,2021-03-04 21:46:51
14,Mataura,-46.1927,168.8643,59.0,70,100,5.99,NZ,2021-03-04 21:51:17
15,Mindelo,16.8901,-24.9804,69.8,68,75,27.63,CV,2021-03-04 21:51:50
16,Victoria,22.2855,114.1577,68.0,91,99,11.65,HK,2021-03-04 21:47:18
17,North Bend,43.4065,-124.2243,53.6,71,90,10.36,US,2021-03-04 21:51:36
18,Port Elizabeth,-33.918,25.5701,68.0,94,75,14.97,ZA,2021-03-04 21:40:55
19,Rikitea,-23.1203,-134.9692,80.22,77,58,4.09,PF,2021-03-04 21:51:08
20,Fortuna,40.5982,-124.1573,62.01,50,41,4.0,US,2021-03-04 21:46:14
21,Sulphur,30.2366,-93.3774,71.6,30,1,4.92,US,2021-03-04 21:49:05
22,Uni,57.7535,51.4923,18.82,96,100,19.77,RU,2021-03-04 21:51:52
23,Nola,40.922,14.5329,48.0,76,0,3.44,IT,2021-03-04 21:51:52
24,Mar Del Plata,-38.0023,-57.5575,73.4,83,75,5.75,AR,2021-03-04 21:51:52
25,Leicester,52.6386,-1.1317,39.99,75,90,4.0,GB,2021-03-04 21:51:53
26,Laguna,38.421,-121.4238,66.0,51,1,6.91,US,2021-03-04 21:51:53
27,Ulaanbaatar,47.9077,106.8832,-11.2,70,0,2.24,MN,2021-03-04 21:51:53
28,Khatanga,71.9667,102.5,-26.66,77,0,12.08,RU,2021-03-04 21:51:19
29,Suslovo,56.2167,88.1167,21.22,93,100,13.11,RU,2021-03-04 21:51:54
30,Tasiilaq,65.6145,-37.6368,33.8,93,90,1.14,GL,2021-03-04 21:51:06
31,Bredasdorp,-34.5322,20.0403,59.0,100,32,2.3,ZA,2021-03-04 21:51:36
32,Longyearbyen,78.2186,15.6401,1.4,71,20,13.8,SJ,2021-03-04 21:44:26
33,Severo-Yeniseyskiy,60.3725,93.0408,10.09,95,100,6.22,RU,2021-03-04 21:47:19
34,Ushuaia,-54.8,-68.3,60.8,36,40,6.91,AR,2021-03-04 21:51:13
35,Arinos,-15.9169,-46.1056,73.24,72,66,2.8,BR,2021-03-04 21:51:55
36,Kuala Lipis,4.1842,102.0468,71.53,97,35,0.74,MY,2021-03-04 21:51:55
37,Bosobolo,4.1833,19.9,79.56,24,68,1.34,CD,2021-03-04 21:51:55
38,Lorengau,-2.0226,147.2712,82.58,79,99,9.28,PG,2021-03-04 21:49:24
39,Sola,-13.8833,167.55,80.6,83,90,11.5,VU,2021-03-04 21:51:56
40,Bathsheba,13.2167,-59.5167,80.6,65,75,20.71,BB,2021-03-04 21:46:20
41,Barrow,71.2906,-156.7887,-25.6,68,1,18.52,US,2021-03-04 21:49:44
42,Yellowknife,62.456,-114.3525,-2.99,71,90,16.11,CA,2021-03-04 21:51:57
43,Kapaa,22.0752,-159.319,73.4,68,20,18.41,US,2021-03-04 21:51:12
44,Castro,-24.7911,-50.0119,64.17,95,100,7.36,BR,2021-03-04 21:51:18
45,Hirara,24.8,125.2833,68.0,88,75,6.91,JP,2021-03-04 21:46:18
46,Bluff,-46.6,168.3333,59.0,70,100,5.99,NZ,2021-03-04 21:51:10
47,Blythe,33.6103,-114.5964,69.8,24,1,4.61,US,2021-03-04 21:51:58
48,Hobart,-42.8794,147.3294,55.0,58,75,12.66,AU,2021-03-04 21:49:29
49,East London,-33.0153,27.9116,72.72,79,70,6.71,ZA,2021-03-04 21:51:28
50,San Patricio,28.017,-97.5169,73.4,56,75,12.66,US,2021-03-04 21:46:27
51,Hobyo,5.3505,48.5268,77.76,79,100,17.72,SO,2021-03-04 21:46:17
52,San Quintin,30.4833,-115.95,61.66,63,100,12.82,MX,2021-03-04 21:48:21
53,Puerto Escondido,15.85,-97.0667,86.0,74,1,9.22,MX,2021-03-04 21:46:07
54,Meadow Lake,34.8014,-106.5436,59.0,26,75,26.46,US,2021-03-04 21:51:59
55,Pacific Grove,36.6177,-121.9166,59.0,63,75,9.22,US,2021-03-04 21:44:23
56,Maningrida,-12.0667,134.2667,75.33,81,97,8.3,AU,2021-03-04 21:52:00
57,Bambous Virieux,-20.3428,57.7575,75.99,88,20,5.75,MU,2021-03-04 21:51:33
58,Shimoda,34.6667,138.95,45.0,89,99,6.35,JP,2021-03-04 21:51:40
59,Whitehorse,60.7161,-135.0538,24.01,68,40,1.34,CA,2021-03-04 21:51:27
60,Hithadhoo,-0.6,73.0833,83.01,67,45,8.86,MV,2021-03-04 21:51:33
61,Katsuura,35.1333,140.3,51.01,81,75,5.75,JP,2021-03-04 21:52:01
62,Chokurdakh,70.6333,147.9167,-9.92,90,100,22.82,RU,2021-03-04 21:45:42
63,Port Augusta,-32.5,137.7667,63.0,94,0,6.91,AU,2021-03-04 21:47:59
64,Olinda,-8.0089,-34.8553,80.6,65,40,16.11,BR,2021-03-04 21:45:37
65,Saint George,37.1041,-113.5841,64.0,38,1,8.05,US,2021-03-04 21:46:23
66,Saint-Philippe,-21.3585,55.7679,77.0,78,20,5.75,RE,2021-03-04 21:51:42
67,Kodiak,57.79,-152.4072,35.6,48,1,3.44,US,2021-03-04 21:47:55
68,Cayenne,4.9333,-52.3333,80.6,83,75,11.5,GF,2021-03-04 21:52:02
69,Peace River,56.2501,-117.286,33.8,64,90,8.05,CA,2021-03-04 21:52:03
70,Georgetown,5.4112,100.3354,80.6,94,20,5.7,MY,2021-03-04 21:51:22
71,Umm Lajj,25.0213,37.2685,65.1,44,0,11.86,SA,2021-03-04 21:52:03
72,Coro,11.4045,-69.6734,80.04,70,0,21.25,VE,2021-03-04 21:52:04
73,Belyy Yar,53.6039,91.3903,5.0,85,95,1.81,RU,2021-03-04 21:48:35
74,Huacho,-11.1067,-77.605,76.5,69,68,7.02,PE,2021-03-04 21:52:04
75,Tiksi,71.6872,128.8694,-22.79,87,98,5.44,RU,2021-03-04 21:52:05
76,Oboyan,51.2098,36.2792,39.2,81,0,11.18,RU,2021-03-04 21:52:05
77,Hagere Hiywet,8.9833,37.85,60.82,39,21,6.06,ET,2021-03-04 21:52:05
78,Carnarvon,-24.8667,113.6333,68.0,100,8,5.75,AU,2021-03-04 21:47:01
79,Busselton,-33.65,115.3333,66.99,99,89,7.67,AU,2021-03-04 21:51:22
80,Kaitangata,-46.2817,169.8464,59.94,52,100,7.96,NZ,2021-03-04 21:52:06
81,Ucluelet,48.9329,-125.5528,46.0,93,90,25.32,CA,2021-03-04 21:52:06
82,Obzor,42.8167,27.8833,46.0,76,0,11.5,BG,2021-03-04 21:52:07
83,Anahuac,27.2333,-100.15,82.4,36,75,10.36,MX,2021-03-04 21:52:07
84,Tautira,-17.7333,-149.15,86.0,66,75,3.44,PF,2021-03-04 21:46:21
85,Luderitz,-26.6481,15.1594,70.18,62,0,17.0,NA,2021-03-04 21:52:08
86,San Vicente,-26.6167,-54.1333,69.62,100,100,2.08,AR,2021-03-04 21:52:08
87,Arraial Do Cabo,-22.9661,-42.0278,82.4,73,0,11.5,BR,2021-03-04 21:51:12
88,Exu,-7.5119,-39.7242,74.89,70,71,1.74,BR,2021-03-04 21:52:08
89,Idah,7.1065,6.7342,82.76,60,59,7.47,NG,2021-03-04 21:52:09
90,Chiredzi,-21.05,31.6667,67.55,81,0,3.36,ZW,2021-03-04 21:52:09
91,Faanui,-16.4833,-151.75,82.04,76,100,12.66,PF,2021-03-04 21:48:20
92,Thompson,55.7435,-97.8558,32.0,51,20,4.21,CA,2021-03-04 21:52:09
93,Waingapu,-9.6567,120.2641,77.29,82,90,5.88,ID,2021-03-04 21:51:36
94,Atuona,-9.8,-139.0333,80.01,73,1,12.64,PF,2021-03-04 21:46:56
95,Goderich,43.7501,-81.7165,21.2,68,35,17.27,CA,2021-03-04 21:41:58
96,Codrington,-38.2667,141.9667,57.18,67,98,12.88,AU,2021-03-04 21:47:36
97,Turukhansk,65.8167,87.9833,-0.08,90,97,17.31,RU,2021-03-04 21:51:25
98,Dunedin,-45.8742,170.5036,57.99,65,100,1.99,NZ,2021-03-04 21:52:10
99,Basoko,1.2391,23.616,78.03,56,32,2.35,CD,2021-03-04 21:52:11
100,Gusino,54.7244,31.368,24.37,96,46,7.65,RU,2021-03-04 21:52:11
101,Orel-Izumrud,43.4583,39.9244,33.8,86,0,11.18,RU,2021-03-04 21:52:12
102,Dondo,-19.6094,34.7431,73.22,95,39,3.8,MZ,2021-03-04 21:52:12
103,Mustafakemalpasa,40.0353,28.4117,43.0,93,0,1.14,TR,2021-03-04 21:52:13
104,Nortelandia,-14.4547,-56.8028,75.99,84,74,3.31,BR,2021-03-04 21:52:13
105,Alice Springs,-23.7,133.8833,71.6,17,16,3.44,AU,2021-03-04 21:52:13
106,Severo-Kurilsk,50.6789,156.125,31.21,97,86,19.69,RU,2021-03-04 21:46:34
107,Mahebourg,-20.4081,57.7,75.2,88,20,5.75,MU,2021-03-04 21:51:09
108,Mecca,21.4267,39.8261,68.38,52,0,8.68,SA,2021-03-04 21:52:14
109,Umred,20.85,79.3333,68.0,32,0,2.3,IN,2021-03-04 21:52:14
110,Broken Hill,-31.95,141.4333,57.2,72,76,12.66,AU,2021-03-04 21:44:02
111,Grand Gaube,-20.0064,57.6608,75.99,82,75,3.13,MU,2021-03-04 21:52:15
112,Casselman,45.3168,-75.0826,17.6,41,73,9.22,CA,2021-03-04 21:52:15
113,Kenai,60.5544,-151.2583,17.6,79,1,8.05,US,2021-03-04 21:48:42
114,Tuy Hoa,13.0833,109.3,71.83,92,28,1.88,VN,2021-03-04 21:52:15
115,Sept-Iles,50.2001,-66.3821,19.4,58,75,14.97,CA,2021-03-04 21:47:12
116,Dali,25.7,100.1833,43.65,72,23,4.94,CN,2021-03-04 21:52:16
117,Kavieng,-2.5744,150.7967,83.66,74,80,8.21,PG,2021-03-04 21:51:35
118,Lincoln,40.8,-96.667,69.8,24,1,17.27,US,2021-03-04 21:52:16
119,Pevek,69.7008,170.3133,-0.06,91,100,2.59,RU,2021-03-04 21:52:17
120,Lerwick,60.1545,-1.1494,35.6,64,90,10.36,GB,2021-03-04 21:52:17
121,Dzhebariki-Khaya,62.2167,135.8,-35.41,82,100,2.42,RU,2021-03-04 21:52:17
122,Biak,-0.9131,122.8766,76.14,74,100,3.02,ID,2021-03-04 21:52:18
123,Nanortalik,60.1432,-45.2371,33.93,98,92,3.8,GL,2021-03-04 21:52:18
124,Khudumelapye,-23.8833,24.75,72.16,42,24,3.4,BW,2021-03-04 21:52:18
125,Mweka,-4.85,21.5667,71.49,89,97,1.48,CD,2021-03-04 21:52:18
126,Saldanha,-33.0117,17.9442,62.6,72,0,9.22,ZA,2021-03-04 21:52:19
127,Lebu,-37.6167,-73.65,61.88,78,0,17.4,CL,2021-03-04 21:51:37
128,Punta Arenas,-53.15,-70.9167,64.4,29,0,14.97,CL,2021-03-04 21:48:37
129,La Rioja,42.25,-2.5,51.01,93,40,2.3,ES,2021-03-04 21:48:56
130,Suileng,47.25,127.0833,-1.95,84,75,18.86,CN,2021-03-04 21:52:20
131,Arlit,18.7369,7.3853,80.17,10,22,8.21,NE,2021-03-04 21:41:58
132,Iqaluit,63.7506,-68.5145,21.2,53,90,18.41,CA,2021-03-04 21:45:37
133,Adrar,20.5022,-10.0711,72.66,17,100,11.07,MR,2021-03-04 21:47:52
134,Port Alfred,-33.5906,26.891,70.0,89,36,5.01,ZA,2021-03-04 21:52:20
135,Bengkulu,-3.8004,102.2655,75.72,83,85,4.56,ID,2021-03-04 21:42:20
136,Najran,17.4924,44.1277,71.6,23,0,1.99,SA,2021-03-04 21:49:24
137,Mount Gambier,-37.8333,140.7667,53.6,87,90,4.61,AU,2021-03-04 21:52:21
138,Provideniya,64.3833,-173.3,12.99,92,100,8.37,RU,2021-03-04 21:51:26
139,Bam,29.106,58.357,63.93,31,0,2.37,IR,2021-03-04 21:52:21
140,Sobolevo,54.4299,31.8996,23.04,97,64,7.85,RU,2021-03-04 21:52:22
141,Fraserburgh,57.6874,-2.0184,37.99,64,100,9.48,GB,2021-03-04 21:52:22
142,Kruisfontein,-34.0033,24.7314,66.99,93,26,1.99,ZA,2021-03-04 21:43:13
143,Atherton,53.5237,-2.4935,39.99,66,0,1.99,GB,2021-03-04 21:52:22
144,Udachnyy,66.4167,112.4,-33.32,68,28,4.94,RU,2021-03-04 21:47:25
145,La Ronge,55.1001,-105.2842,37.4,65,100,6.91,CA,2021-03-04 21:43:04
146,Prado,-17.3411,-39.2208,75.79,81,21,6.6,BR,2021-03-04 21:52:23
147,Hermanus,-34.4187,19.2345,57.99,92,75,7.56,ZA,2021-03-04 21:51:16
148,Veraval,20.9,70.3667,76.32,42,0,10.71,IN,2021-03-04 21:52:23
149,Kimbe,-5.5502,150.1429,79.83,86,100,7.47,PG,2021-03-04 21:52:24
150,Butaritari,3.0707,172.7902,81.77,78,90,19.91,KI,2021-03-04 21:51:12
151,Bethel,41.3712,-73.414,37.4,35,20,17.27,US,2021-03-04 21:48:22
152,Maragogi,-9.0122,-35.2225,78.93,82,6,9.08,BR,2021-03-04 21:49:43
153,Ilave,-16.0833,-69.6667,54.25,53,95,9.75,PE,2021-03-04 21:52:25
154,Ilulissat,69.2167,-51.1,21.2,79,100,11.05,GL,2021-03-04 21:49:14
155,Sapa,5.1544,120.3241,80.58,77,25,9.62,PH,2021-03-04 21:52:26
156,Aksarka,66.5606,67.7975,6.01,95,99,4.61,RU,2021-03-04 21:46:34
157,Ada,43.4166,-116.1262,60.8,25,1,10.36,US,2021-03-04 21:52:26
158,New Norfolk,-42.7826,147.0587,55.0,66,65,1.99,AU,2021-03-04 21:51:16
159,Port Lincoln,-34.7333,135.8667,61.97,80,91,14.34,AU,2021-03-04 21:43:15
160,Aklavik,68.2191,-135.0107,-13.0,70,40,16.11,CA,2021-03-04 21:52:27
161,Portland,45.5234,-122.6762,61.0,44,75,12.66,US,2021-03-04 21:46:11
162,Senneterre,48.3835,-77.2328,10.4,40,40,16.11,CA,2021-03-04 21:52:28
163,Chebsara,59.2002,38.8356,6.8,92,75,4.29,RU,2021-03-04 21:52:28
164,Akyab,20.15,92.9,68.59,90,23,4.92,MM,2021-03-04 21:52:28
165,Cabo San Lucas,22.8909,-109.9124,84.2,29,75,3.44,MX,2021-03-04 21:50:11
166,Tonantins,-2.8731,-67.8022,77.59,93,99,3.11,BR,2021-03-04 21:52:29
167,Marion,39.7684,-86.1555,48.99,42,1,10.36,US,2021-03-04 21:52:29
168,Viseu,40.661,-7.9097,57.0,70,100,1.99,PT,2021-03-04 21:49:40
169,Sao Filipe,14.8961,-24.4956,71.01,73,81,14.97,CV,2021-03-04 21:46:03
170,Mount Isa,-20.7333,139.5,75.2,15,10,16.26,AU,2021-03-04 21:48:56
171,Necochea,-38.5473,-58.7368,70.0,87,36,7.0,AR,2021-03-04 21:47:11
172,Cairns,-16.9167,145.7667,77.0,88,75,2.3,AU,2021-03-04 21:46:05
173,Sarapulka,56.8678,61.0552,21.2,79,40,11.18,RU,2021-03-04 21:52:31
174,Caceres,39.522,-6.3748,54.0,78,100,3.0,ES,2021-03-04 21:52:31
175,Waipawa,-41.4122,175.5153,64.4,52,6,19.57,NZ,2021-03-04 21:52:31
176,Saint-Michel-Des-Saints,46.6834,-73.9159,10.99,92,100,16.82,CA,2021-03-04 21:52:31
177,Chuy,-33.6971,-53.4616,71.96,90,100,8.12,UY,2021-03-04 21:47:54
178,Olafsvik,64.8945,-23.7142,40.68,86,100,12.84,IS,2021-03-04 21:47:36
179,Toora-Khem,52.4675,96.11,-3.51,95,0,2.19,RU,2021-03-04 21:52:32
180,Jimenez,28.3333,-105.4,80.6,11,75,23.02,MX,2021-03-04 21:52:33
181,Kaputa,-8.4689,29.6619,68.36,85,91,2.19,ZM,2021-03-04 21:52:33
182,Flinders,-34.5833,150.8552,71.01,76,6,1.99,AU,2021-03-04 21:44:25
183,Namatanai,-3.6667,152.4333,81.81,77,86,2.62,PG,2021-03-04 21:46:13
184,Dusetos,55.75,25.85,27.61,90,0,6.26,LT,2021-03-04 21:52:34
185,Guerrero Negro,27.9769,-114.0611,65.14,51,96,15.73,MX,2021-03-04 21:52:34
186,Qaanaaq,77.484,-69.3632,-24.07,65,0,8.72,GL,2021-03-04 21:51:14
187,Kolda,12.8833,-14.95,87.8,35,0,5.86,SN,2021-03-04 21:52:36
188,Dzilam Gonzalez,21.2833,-88.9333,78.24,67,40,8.46,MX,2021-03-04 21:52:36
189,Nerchinskiy Zavod,51.3088,119.61,-25.92,87,2,2.01,RU,2021-03-04 21:52:36
190,Sao Joao Da Barra,-21.6403,-41.0511,80.6,74,0,16.11,BR,2021-03-04 21:52:36
191,Belize,17.25,-88.75,91.4,43,20,4.61,BZ,2021-03-04 21:52:37
192,Narsaq,60.9167,-46.05,50.0,32,75,29.93,GL,2021-03-04 21:46:28
193,Ahipara,-35.1667,173.1667,69.71,63,3,6.33,NZ,2021-03-04 21:52:37
194,Magadan,59.5667,150.8,-18.74,83,54,1.88,RU,2021-03-04 21:52:38
195,Souillac,-20.5167,57.5167,75.2,88,20,5.75,MU,2021-03-04 21:52:38
196,Bartica,6.4,-58.6167,84.2,70,40,13.8,GY,2021-03-04 21:52:38
197,Xichang,27.8964,102.2634,46.54,79,27,1.81,CN,2021-03-04 21:46:45
198,Kalmunai,7.4167,81.8167,75.31,77,17,5.23,LK,2021-03-04 21:52:39
199,Nome,64.5011,-165.4064,3.2,85,90,37.98,US,2021-03-04 21:45:11
200,Oriximina,-1.7656,-55.8661,79.25,80,20,4.05,BR,2021-03-04 21:52:39
201,Padang,-0.9492,100.3543,77.0,94,90,5.75,ID,2021-03-04 21:48:37
202,Sembakung,3.8167,117.25,71.47,98,55,1.81,ID,2021-03-04 21:52:40
203,Wajima,37.4,136.9,50.54,74,81,1.92,JP,2021-03-04 21:52:40
204,Cherskiy,68.75,161.3,-18.0,87,100,8.41,RU,2021-03-04 21:51:27
205,Darab,28.7519,54.5444,62.49,44,0,2.08,IR,2021-03-04 21:52:41
206,Rawson,-43.3002,-65.1023,62.11,71,10,11.03,AR,2021-03-04 21:49:19
207,Broome,42.2506,-75.833,25.0,54,40,11.5,US,2021-03-04 21:47:35
208,Port Hedland,-20.3167,118.5667,73.4,73,0,9.22,AU,2021-03-04 21:46:23
209,Sao Domingos,-13.3983,-46.3183,75.22,71,69,2.08,BR,2021-03-04 21:52:41
210,Kortkeros,61.8106,51.5806,14.0,85,75,4.47,RU,2021-03-04 21:52:42
211,Esperance,-33.8667,121.9,64.4,94,75,12.66,AU,2021-03-04 21:52:42
212,Upernavik,72.7868,-56.1549,-13.43,82,29,16.26,GL,2021-03-04 21:46:47
213,Norman Wells,65.282,-126.8329,1.4,71,75,20.71,CA,2021-03-04 21:45:55
214,Chateaudun,48.0833,1.3333,46.4,81,90,11.5,FR,2021-03-04 21:52:43
215,Morant Bay,17.8815,-76.4093,82.4,69,20,9.22,JM,2021-03-04 21:52:43
216,Sisimiut,66.9395,-53.6735,26.2,90,100,11.74,GL,2021-03-04 21:49:26
217,Kalianget,-7.05,113.9333,76.69,89,100,12.28,ID,2021-03-04 21:52:44
218,Qaqortoq,60.7167,-46.0333,50.0,32,75,29.93,GL,2021-03-04 21:52:44
219,Pisco,-13.7,-76.2167,82.4,61,0,11.5,PE,2021-03-04 21:45:51
220,Baiyin,36.5583,104.2081,35.01,39,0,8.95,CN,2021-03-04 21:47:59
221,Atbasar,51.8,68.3333,11.26,93,52,14.58,KZ,2021-03-04 21:52:45
222,Kabo,7.6994,18.629,78.39,18,13,2.82,CF,2021-03-04 21:52:45
223,Pochutla,15.7432,-96.4661,89.6,45,40,13.8,MX,2021-03-04 21:49:37
224,Qui Nhon,13.7667,109.2333,73.63,91,32,3.67,VN,2021-03-04 21:51:32
225,Serenje,-13.2325,30.2352,63.81,93,100,1.19,ZM,2021-03-04 21:52:45
226,Touros,-5.1989,-35.4608,80.6,78,40,9.22,BR,2021-03-04 21:46:01
227,Sumkino,58.1108,68.3244,21.04,98,99,7.72,RU,2021-03-04 21:52:46
228,Saskylakh,71.9167,114.0833,-31.18,81,92,7.31,RU,2021-03-04 21:51:20
229,Tarakan,3.3,117.6333,77.0,85,70,7.96,ID,2021-03-04 21:52:46
